,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Vila Velha,BR,-20.3297,-40.2925,76.95,91,0,4.61,clear sky
140,Bambous Virieux,MU,-20.3428,57.7575,82.22,63,12,6.87,few clouds
141,Sorland,NO,67.667,12.6934,32.88,63,100,40.15,overcast clouds
142,Macusani,PE,-14.0833,-70.4333,37.87,98,100,5.77,overcast clouds
143,Kindu,CD,-2.95,25.95,69.55,99,100,1.68,overcast clouds
144,Weatherford,US,32.7593,-97.7972,71.1,42,81,1.99,broken clouds
145,Mumford,GH,5.2618,-0.759,80.13,89,81,8.52,broken clouds
146,Macaubas,BR,-13.0194,-42.6986,70.12,71,94,3.94,overcast clouds
147,Erenhot,CN,43.6475,111.9767,54.32,21,72,23.0,broken clouds
148,Tazovskiy,RU,67.4667,78.7,8.38,95,99,12.64,overcast clouds
149,Veraval,IN,20.9,70.3667,90.46,33,4,10.18,clear sky
150,Lac Du Bonnet,CA,50.2536,-96.0612,8.33,92,21,1.25,few clouds
151,Severo-Kurilsk,RU,50.6789,156.125,32.7,93,97,25.99,snow
152,Strathmore,CA,51.0501,-113.3852,43.95,49,100,8.99,overcast clouds
153,Saveh,IR,35.0213,50.3566,50.49,29,0,12.48,clear sky
154,Klaksvik,FO,62.2266,-6.589,38.32,71,100,14.94,overcast clouds
155,Brae,GB,60.3964,-1.353,43.99,81,47,16.22,scattered clouds
156,Lasa,IT,46.6166,10.7002,40.03,60,2,1.61,clear sky
157,Guerrero Negro,MX,27.9769,-114.0611,60.26,84,62,8.19,broken clouds
158,Cabinda,AO,-5.55,12.2,78.66,94,92,5.84,overcast clouds
159,Vostok,RU,46.4856,135.8833,28.92,86,100,11.52,light snow
160,Saint Anthony,US,45.0205,-93.218,24.4,42,0,8.05,clear sky
161,Houlton,US,46.1262,-67.8403,32.61,80,75,3.44,broken clouds
162,Pitimbu,BR,-7.4706,-34.8086,75.79,84,94,8.21,overcast clouds
163,Kaitangata,NZ,-46.2817,169.8464,63.25,75,2,4.38,clear sky
164,Barrow,US,71.2906,-156.7887,-0.38,71,100,17.27,overcast clouds
165,Tessalit,ML,20.1986,1.0114,78.15,8,75,11.34,broken clouds
166,Bayji,IQ,34.9311,43.487,52.9,55,0,8.48,clear sky
167,Cortes,ES,41.9395,-1.4396,46.45,67,59,5.7,broken clouds
168,Nizwa,OM,22.9333,57.5333,86.72,16,0,3.65,clear sky
169,San Patricio,US,28.017,-97.5169,69.89,83,61,13.44,broken clouds
170,Nemuro,JP,43.3236,145.575,34.3,79,81,15.28,broken clouds
171,Lannion,FR,48.75,-3.4167,46.38,100,100,9.22,fog
172,Petrozavodsk,RU,61.7849,34.3469,18.86,73,100,6.71,light snow
173,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,0,14.97,clear sky
174,Coari,BR,-4.085,-63.1414,73.69,99,100,1.36,overcast clouds
175,Treinta Y Tres,UY,-33.2333,-54.3833,57.47,79,0,4.74,clear sky
176,Casino,AU,-28.8667,153.05,70.57,96,100,3.51,light rain
177,Lodja,CD,-3.4833,23.4333,69.55,100,100,2.66,moderate rain
178,Payo,ID,-3.7508,103.6372,91.45,51,38,4.23,scattered clouds
179,Hobbs,US,32.7026,-103.136,69.06,12,0,11.5,clear sky
180,Qax,AZ,41.4225,46.9242,40.19,57,83,12.01,broken clouds
181,Ponta Do Sol,PT,32.6667,-17.1,61.05,72,100,2.86,overcast clouds
182,Pauini,BR,-7.7136,-66.9764,73.24,99,100,1.52,overcast clouds
183,Coral Springs,US,26.2712,-80.2706,68.99,65,0,5.75,clear sky
184,Nikel,RU,69.4128,30.222,8.78,97,89,3.69,overcast clouds
185,San Sebastian,ES,43.3128,-1.975,60.64,48,0,4.61,clear sky
186,Carballo,ES,43.213,-8.691,53.02,80,100,2.37,overcast clouds
187,Bredasdorp,ZA,-34.5322,20.0403,62.53,70,100,2.86,overcast clouds
188,Thinadhoo,MV,0.5333,72.9333,81.79,64,6,6.24,clear sky
189,University Place,US,47.2356,-122.5504,56.68,86,100,0.0,overcast clouds
190,Arman,RU,59.7,150.1667,25.02,63,100,12.95,overcast clouds
191,Tasiilaq,GL,65.6145,-37.6368,24.96,80,100,10.11,overcast clouds
192,Ucluelet,CA,48.9329,-125.5528,49.08,93,100,4.45,overcast clouds
193,Nevsehir,TR,38.9167,34.6667,27.61,80,0,4.61,clear sky
194,Puerto Escondido,MX,15.85,-97.0667,77.63,75,94,3.2,overcast clouds
195,Flinders,AU,-34.5833,150.8552,74.37,85,93,5.01,light rain
196,Mumbwa,ZM,-14.9783,27.0619,65.01,97,81,4.88,broken clouds
197,Biak,ID,-0.9131,122.8766,83.7,67,100,1.97,overcast clouds
198,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,14.97,few clouds
199,Avera,US,33.194,-82.5271,53.65,48,47,8.97,scattered clouds
200,Kamaishi,JP,39.2667,141.8833,47.14,50,44,15.93,scattered clouds
201,Tripoli,LY,32.8752,13.1875,59.67,87,95,8.61,overcast clouds
202,Fukue,JP,32.6881,128.8419,54.7,68,100,20.02,overcast clouds
203,Yar-Sale,RU,66.8333,70.8333,17.42,90,100,18.68,overcast clouds
204,Bambanglipuro,ID,-7.95,110.2833,87.57,62,86,4.09,overcast clouds
205,Camalu,MX,30.85,-116.0667,58.46,79,98,0.94,overcast clouds
206,Tura,IN,25.5198,90.2201,91.0,28,7,4.45,clear sky
207,Sao Filipe,CV,14.8961,-24.4956,70.21,75,100,7.52,overcast clouds
208,Manta,EC,-0.95,-80.7333,78.58,89,100,2.3,light rain
209,Namatanai,PG,-3.6667,152.4333,83.3,76,72,7.61,light rain
210,Mogadishu,SO,2.0371,45.3438,82.08,66,24,15.35,few clouds
211,Mapimi,MX,25.8167,-103.85,66.72,15,77,6.24,broken clouds
212,Ganzhou,CN,28.8184,115.4327,64.58,59,39,5.82,scattered clouds
213,Faya,SA,18.3851,42.4509,61.32,26,0,2.33,clear sky
214,Mabai,CN,23.0128,104.4508,58.91,82,61,5.68,broken clouds
215,Parana,AR,-31.732,-60.5238,67.55,93,25,7.45,scattered clouds
216,Verkhnetulomskiy,RU,68.6073,31.7962,5.13,98,98,1.45,overcast clouds
217,Kemijarvi,FI,66.7131,27.4306,17.85,76,100,8.19,overcast clouds
218,Zonguldak,TR,41.25,31.8333,32.85,79,71,3.42,broken clouds
219,Makinsk,KZ,52.6292,70.4169,28.08,87,98,11.39,overcast clouds
220,Pincher Creek,CA,49.4833,-113.952,45.43,70,95,4.97,overcast clouds
221,Mangrol,IN,21.1167,70.1167,89.28,35,3,9.71,clear sky
222,Hasaki,JP,35.7333,140.8333,64.29,50,98,15.68,overcast clouds
223,Chokurdakh,RU,70.6333,147.9167,1.99,91,21,5.7,few clouds
224,Longyearbyen,SJ,78.2186,15.6401,6.64,72,20,8.05,few clouds
225,Peddapuram,IN,17.0833,82.1333,87.89,32,20,6.53,few clouds
226,Haines Junction,CA,60.7522,-137.5108,14.7,97,82,3.15,broken clouds
227,Lebu,CL,-37.6167,-73.65,51.04,85,3,6.87,clear sky
228,Cayenne,GF,4.9333,-52.3333,80.1,1,20,8.05,few clouds
229,Kisesa,TZ,-3.0833,34.15,66.61,83,97,3.85,overcast clouds
230,Rocha,UY,-34.4833,-54.3333,59.32,65,0,4.54,clear sky
231,Gidole,ET,5.65,37.3667,63.57,56,69,5.57,broken clouds
232,Iqaluit,CA,63.7506,-68.5145,10.13,92,75,3.44,mist
233,Portree,GB,57.4129,-6.1942,48.52,73,11,0.69,few clouds
234,Sungairaya,ID,0.7,108.9,89.82,54,7,7.23,clear sky
235,Kameshkovo,RU,56.3481,41.0047,19.72,85,100,11.83,overcast clouds
236,Guelph,CA,43.5501,-80.2497,16.7,75,100,13.8,overcast clouds
237,Axim,GH,4.8699,-2.2405,79.84,88,100,6.35,overcast clouds
238,Nanortalik,GL,60.1432,-45.2371,28.45,78,62,3.06,broken clouds
239,Shevchenkove,UA,49.6959,37.1735,28.53,47,47,14.63,scattered clouds
240,Johvi,EE,59.3592,27.4211,38.35,81,100,18.81,overcast clouds
241,Camacha,PT,33.0833,-16.3333,54.82,82,20,6.91,few clouds
242,Chuy,UY,-33.6971,-53.4616,59.99,64,0,5.66,clear sky
243,Sri Aman,MY,1.2376,111.4621,94.68,44,49,1.45,scattered clouds
244,Ranfurly,NZ,-45.1333,170.1,77.11,52,0,3.67,clear sky
245,Arua,UG,3.0201,30.9111,66.54,84,96,3.2,overcast clouds
